# OS:        Windows 11 (22631) (x86_64)
# CPU:       Intel(R) Core(TM) i9-9900 CPU @ 3.10GHz (8 physical / 16 logical cores, 3096 MHz)
# RAM:       31.8 GiB
# toolchain: rustc 1.96.0 (ac68faa20 2026-05-25)
# fast-tiff-lib: 0.17.0 (path dependency)
# tiff (rust): 0.11 | TinyTIFF: vendored | libtiff: vendored
# libtiff:   LIBTIFF, Version 4.7.2 (vendored)
family,run,format,compression,predictor,strips,bigtiff,width,height,frames,reader,ok,reason,open_us,mean_us,min_us,total_read_ms,mb_s,rel,write_mb_s
"16x16 u16 none","16x16 u16 none / 1 frames",u16,none,false,1,false,16,16,1,raw,true,"",47.300,15.1000,15.1000,0.0151,32.337,25.1667,0.8
"16x16 u16 none","16x16 u16 none / 1 frames",u16,none,false,1,false,16,16,1,fast-tiff,true,"",51.000,4.9000,4.9000,0.0049,99.649,8.1667,0.8
"16x16 u16 none","16x16 u16 none / 1 frames",u16,none,false,1,false,16,16,1,fast-tiff-preload,true,"",87.000,5.5000,5.5000,0.0055,88.778,9.1667,0.8
"16x16 u16 none","16x16 u16 none / 1 frames",u16,none,false,1,false,16,16,1,tiff-rs,true,"",185.400,23.3000,23.3000,0.0233,20.956,38.8333,0.8
"16x16 u16 none","16x16 u16 none / 1 frames",u16,none,false,1,false,16,16,1,tinytiff,true,"",1025.900,5.0000,5.0000,0.0050,97.656,8.3333,0.8
"16x16 u16 none","16x16 u16 none / 1 frames",u16,none,false,1,false,16,16,1,libtiff,true,"",154.600,0.6000,0.6000,0.0006,813.802,1.0000,0.8
"16x16 u16 none","16x16 u16 none / 10 frames",u16,none,false,1,false,16,16,10,raw,true,"",30.000,2.2667,1.5000,0.0289,215.418,14.5714,9.0
"16x16 u16 none","16x16 u16 none / 10 frames",u16,none,false,1,false,16,16,10,fast-tiff,true,"",50.000,0.1556,0.1000,0.0024,3138.951,1.0000,9.0
"16x16 u16 none","16x16 u16 none / 10 frames",u16,none,false,1,false,16,16,10,fast-tiff-preload,true,"",48.600,12.4400,12.4400,0.1244,39.251,79.9714,9.0
"16x16 u16 none","16x16 u16 none / 10 frames",u16,none,false,1,false,16,16,10,tiff-rs,true,"",121.200,63.6000,2.4000,0.6493,7.677,408.8571,9.0
"16x16 u16 none","16x16 u16 none / 10 frames",u16,none,false,1,false,16,16,10,tinytiff,true,"",86.800,9.8778,2.7000,0.1004,49.432,63.5000,9.0
"16x16 u16 none","16x16 u16 none / 10 frames",u16,none,false,1,false,16,16,10,libtiff,true,"",72.200,12.3000,0.2000,0.1284,39.698,79.0714,9.0
"16x16 u16 none","16x16 u16 none / 100 frames",u16,none,false,1,false,16,16,100,raw,true,"",34.900,1.5967,1.5000,0.1729,305.813,11.7787,66.4
