# OS:        Windows 10 (19045) (x86_64)
# CPU:       AMD Ryzen 7 5800X 8-Core Processor (8 physical / 16 logical cores, 3801 MHz)
# RAM:       63.9 GiB
# toolchain: rustc 1.96.0 (ac68faa20 2026-05-25)
# fast-tiff-lib: 0.7.1 (path dependency)
# tiff (rust): 0.11 | TinyTIFF: vendored | libtiff: not built (--features libtiff)
reader,frames,frame_w,frame_h,bits,open_us,mean_read_us,min_read_us,total_read_ms,read_throughput_mb_s
RAW,10,16,16,16,32.900,2.5333,1.8000,0.0322,192.743
fast-tiff-lib,10,16,16,16,82.400,0.0444,0.0000,0.0024,10986.328
fast-tiff-preload,10,16,16,16,56.300,6.6000,6.6000,0.0660,73.982
tiff-rs,10,16,16,16,126.600,2.0222,1.9000,0.0269,241.458
TinyTIFF,10,16,16,16,498.600,2.4222,2.1000,0.0258,201.584
RAW,100,16,16,16,28.700,1.4533,1.4000,0.1563,335.973
fast-tiff-lib,100,16,16,16,107.400,0.0444,0.0000,0.0106,10986.328
fast-tiff-preload,100,16,16,16,73.700,1.9770,1.9770,0.1977,246.981
tiff-rs,100,16,16,16,103.900,1.9689,1.9000,0.2020,247.998
TinyTIFF,100,16,16,16,75.200,2.3400,2.1000,0.2376,208.667
RAW,1000,16,16,16,30.700,1.4584,1.4000,1.4784,334.796
fast-tiff-lib,1000,16,16,16,386.800,0.0626,0.0000,0.1313,7805.562
fast-tiff-preload,1000,16,16,16,327.300,0.7337,0.7337,0.7337,665.505
tiff-rs,1000,16,16,16,108.600,1.9511,1.9000,1.9681,250.258
TinyTIFF,1000,16,16,16,84.900,2.3544,2.2000,2.3721,207.387
RAW,10000,16,16,16,37.400,1.4544,1.4000,15.1493,335.727
fast-tiff-lib,10000,16,16,16,3428.900,0.0690,0.0000,1.4637,7079.960
fast-tiff-preload,10000,16,16,16,3428.300,0.4611,0.4611,4.6109,1058.972
tiff-rs,10000,16,16,16,122.400,1.9860,1.8000,20.9249,245.860
TinyTIFF,10000,16,16,16,131.900,2.3753,2.2000,24.7090,205.563
RAW,100000,16,16,16,36.500,1.4407,1.3000,151.5714,338.923
fast-tiff-lib,100000,16,16,16,35023.900,0.0766,0.0000,16.6847,6377.111
fast-tiff-preload,100000,16,16,16,34363.800,0.4237,0.4237,42.3704,1152.411
tiff-rs,100000,16,16,16,181.700,1.9823,1.8000,205.3983,246.326
TinyTIFF,100000,16,16,16,121.100,2.3523,2.2000,241.9520,207.579
RAW,1000000,16,16,16,67.100,1.4485,1.3000,1517.8258,337.094
fast-tiff-lib,1000000,16,16,16,513030.100,0.0767,0.0000,171.0164,6367.068
fast-tiff-preload,1000000,16,16,16,378832.200,0.4447,0.4447,444.6816,1098.047
tiff-rs,1000000,16,16,16,188.000,2.0135,1.8000,2095.0009,242.506
TinyTIFF,1000000,16,16,16,143.700,2.3869,2.2000,2460.5188,204.570
